Year,inci_00,inci_25,inci_50,inci_38,prev_00,prev_25,prev_50,prev_38,mort_00,mort_25,mort_50,mort_38,art_00,art_25,art_50,art_38
2048,0.153072414,0.128650954,0.109103633,0.118486347,0.04467958,0.044464422,0.04424707,0.044351399,28.88144226,22.96577629,18.00432551,20.38582188,0.653310609,0.730952274,0.796022695,0.764788893
2049,0.147313204,0.124205427,0.104952914,0.11419412,0.043121725,0.04289334,0.042706459,0.042796162,28.96299606,22.95685918,17.84859051,20.30055948,0.65314814,0.731901395,0.797385053,0.765952897
2050,0.142727239,0.119771978,0.10071265,0.109861127,0.041604004,0.041390034,0.041193264,0.041287714,28.94236887,22.92307282,17.71444309,20.21458536,0.65254033,0.732907693,0.798915403,0.767231702
2051,0.138014657,0.114909632,0.097060106,0.105627878,0.040187259,0.039993583,0.039752327,0.03986813,29.1214285,22.87393413,17.54269818,20.10169144,0.652209944,0.733664204,0.799973305,0.768144937
2052,0.134028102,0.111673912,0.094302661,0.102640862,0.038816629,0.03859959,0.038381749,0.038486312,29.18896814,22.83813981,17.49474767,20.0595759,0.652149345,0.734103524,0.800914198,0.768845075
2053,0.130055566,0.107787505,0.089818618,0.098443684,0.037515974,0.037263296,0.037018787,0.037136151,29.36578168,22.75203721,17.42553067,19.98225381,0.651521119,0.734791317,0.801709475,0.769588759
2054,0.125762725,0.104327906,0.086918969,0.095275259,0.036236389,0.035979897,0.035716267,0.035842809,29.31789896,22.72634826,17.31169692,19.91072956,0.650611748,0.735098299,0.80269994,0.770251152
2055,0.122140499,0.100457014,0.083533375,0.091656722,0.034959051,0.034702902,0.034387994,0.03453915,29.3587101,22.71990031,17.19787214,19.84844566,0.650156607,0.735634689,0.803729705,0.771044097
2056,0.118827145,0.09744911,0.08106026,0.088926908,0.033764599,0.033504518,0.033162097,0.033326459,29.39748446,22.55665555,17.17384006,19.7575915,0.649396814,0.735661131,0.803882115,0.771136043
2057,0.115367851,0.09425773,0.078297958,0.085958649,0.032646077,0.032353578,0.031991217,0.032165151,29.38017624,22.58743671,17.06703228,19.7168264,0.648662432,0.73583958,0.804229919,0.771402556
2058,0.112382598,0.09114472,0.075193929,0.082850309,0.031529339,0.031243785,0.030818782,0.031022784,29.51951214,22.5867604,17.02764553,19.69602066,0.647776567,0.736048794,0.804539842,0.771664139
2059,0.108080214,0.088811008,0.072524092,0.080341812,0.030454544,0.030172546,0.029713169,0.02993367,29.52391009,22.50995918,16.95999992,19.62398036,0.646948486,0.735703538,0.804774438,0.771620406
2060,0.105464765,0.085708067,0.07028694,0.077689081,0.029441848,0.029096174,0.028622738,0.028849988,29.49701945,22.53094152,16.98020808,19.64456013,0.646063291,0.735456942,0.804997605,0.771618087
2061,0.102679344,0.083392313,0.06815424,0.075468515,0.028482812,0.028096508,0.02756817,0.027821772,29.6454584,22.48644915,16.9535352,19.6093339,0.645359931,0.735059658,0.804837754,0.771344268
2062,0.099583965,0.081202686,0.065336374,0.072952204,0.02754018,0.027121502,0.026564255,0.026831733,29.70356899,22.47477166,16.91751255,19.58499692,0.644897606,0.734278182,0.804899303,0.771001165
