"","bootstrap.id","dalys_soc","dalys_cag","dalys_uag","dalys_hom","costf_soc","costf_cag","costp_cag","costpoint_cag","costf_uag","costp_uag","costpoint_uag","costf_hom","costp_hom","costpoint_hom","Diff_cpoint_cag_soc","Diff_cpoint_uag_soc","Diff_cpoint_hom_soc","Diff_cf_cag_soc","Diff_cf_uag_soc","Diff_cf_hom_soc","Diff_cp_cag_soc","Diff_cp_uag_soc","Diff_cp_hom_soc","Diff_dalys_cag_soc","Diff_dalys_uag_soc","Diff_dalys_hom_soc","ICERpoint_cag","ICERpoint_uag","ICERpoint_hom","ICERf_cag","ICERf_uag","ICERf_hom","ICERp_cag","ICERp_uag","ICERp_hom"
"11","bootstrap_108",206063451.999894,196134221.57988,184871734.654751,190277728.378813,24830896805.9213,34699868396.4515,31031853773.4803,31931980061.326,43219720234.4884,39959163491.2766,40213533166.2789,57717178848.4692,43516195761.5436,48790194303.4726,7101083255.40474,15382636360.3577,23959297497.5513,9868971590.53024,18388823428.5671,32886282042.548,6200956967.55904,15128266685.3553,18685298955.6224,9929230.42001358,21191717.3451429,15785723.6210808,715.169550410638,725.879649573723,1517.78265429373,993.931168183803,867.736348549489,2083.29265302925,624.515365768958,713.876390429619,1183.68339672876
"12","bootstrap_109",128121850.242109,119211878.901787,111554605.879883,115230096.930397,15047126891.3653,21038117971.4802,18814244281.8879,19359980156.6345,26502821093.7755,24503410834.6945,24659393195.3321,35199391154.4164,26538781463.7332,29755181525.7072,4312853265.26917,9612266303.96673,14708054634.3419,5990991080.11487,11455694202.4102,20152264263.0511,3767117390.5226,9456283943.32921,11491654572.3679,8909971.34032208,16567244.3622254,12891753.3117118,484.047939161302,580.197049901881,1140.88861915935,672.39173407917,691.466483619332,1563.19034159173,422.797924553866,570.781943971943,891.395785701861
"13","bootstrap_11",195454950.268966,179557644.102404,171846731.019563,175547969.299326,23962413862.166,33885014397.6678,30303135443.8287,31182124144.1574,42179864519.3808,38997755960.1338,39246005564.0467,56336268509.3177,42475050545.3954,47622866220.0996,7219710281.99133,15283591701.8807,23660452357.9336,9922600535.50179,18217450657.2148,32373854647.1517,6340721581.66272,15035342097.9678,18512636683.2294,15897306.1665625,23608219.2494036,19906980.9696398,454.146772185647,647.384351205005,1188.5505086893,624.168675594387,771.65712774694,1626.25637189914,398.855096280364,636.868962420688,929.957019171466
"14","bootstrap_110",167415966.458387,155749962.738177,149300586.450926,152396287.068806,19797976289.5686,28518088859.2419,25503530828.0769,26243299670.0806,35306759815.2899,32643167983.3177,32850965927.656,47283589824.0863,35649731884.7739,39970344720.7565,6445323380.51205,13052989638.0874,20172368431.1879,8720112569.67338,15508783525.7213,27485613534.5177,5705554538.50837,12845191693.7492,15851755595.2053,11666003.7202106,18115380.0074616,15019679.3895811,552.487684308375,720.547381987627,1343.06251871003,747.480695087242,856.111410267594,1829.97338502338,489.075323079475,709.076579594707,1055.39906572183
"15","bootstrap_111",198621549.07299,185266890.152467,174256024.789208,179541240.163572,23127889008.2826,34921332111.6667,31229907251.6137,32135778382.9151,43243571692.9729,39981215562.0424,40235725614.81,57913314047.3396,43664073011.9578,48955993718.0241,9007889374.63248,17107836606.5274,25828104709.7415,11793443103.3841,20115682684.6903,34785425039.0571,8102018243.33112,16853326553.7598,20536184003.6752,13354658.9205234,24365524.283782,19080308.9094178,674.512874363955,702.132915642393,1353.65233510413,883.095792529749,825.57971872083,1823.10596773868,606.681031058005,691.687416920371,1076.30249075993
"16","bootstrap_112",178352812.803076,167969276.469979,161086761.534757,164390368.703663,20222083676.4126,29152304660.5183,26070705659.4389,26826926273.2007,37056241275.944,34260666091.4024,34478760609.3454,49001156241.9459,36944700869.1253,41422259054.2082,6604842596.78813,14256676932.9328,21200175377.7956,8930220984.10574,16834157599.5314,28779072565.5333,5848621983.02631,14038582414.9899,16722617192.7127,10383536.3330977,17266051.2683192,13962444.0994129,636.087974742774,825.705699084298,1518.37137014479,860.036571128519,974.985961637896,2061.17728104232,563.259162910013,813.07429225284,1197.68552508768
"17","bootstrap_113",156172605.147176,150984757.309122,143104850.364808,146887205.698078,18676172029.0889,26835087043.2659,23998433873.3228,24694545080.6708,33253394650.8416,30744711587.295,30940424450.4085,44511231723.5567,33559496702.9664,37626780930.8705,6018373051.58189,12264252421.3196,18950608901.7816,8158915014.17703,14577222621.7527,25835059694.4678,5322261844.23388,12068539558.2061,14883324673.8775,5187847.8380543,13067754.7823684,9285399.44909757,1160.09051141313,938.512592680963,2040.90400264077,1572.69744003075,1115.51087884056,2782.33153415696,1025.90939641553,923.535814621306,1602.87392647647
"18","bootstrap_114",210400903.977151,198638386.616415,188557550.529092,193396351.851007,25076930413.2497,35249978209.4144,31523813197.654,32438209519.5584,44420373839.1892,41069238092.0914,41330674214.2054,58977493821.6422,44466417414.5768,49855579231.3486,7361279106.30873,16253743800.9558,24778648818.0989,10173047796.1647,19343443425.9395,33900563408.3925,6446882784.40435,15992307678.8418,19389487001.3271,11762517.3607365,21843353.448059,17004552.1261443,625.82514274375,744.104784075636,1457.17738604841,864.869949533303,885.552828320797,1993.61695367859,548.086994194303,732.136103408738,1140.25273100348
"19","bootstrap_115",149558923.315307,140265620.07151,131180720.067604,135541472.069479,17789152714.9394,25585609656.4022,22881034835.3947,23544734177.9733,31890234184.9799,29484389872.4694,29672079854.2965,42569268401.282,32095342394.321,35985176650.9255,5755581463.03386,11882927139.3571,18196023935.986,7796456941.46283,14101081470.0405,24780115686.3426,5091882120.45533,11695237157.53,14306189679.3816,9293303.24379778,18378203.2477035,14017451.2458288,619.325692064881,646.577196867267,1298.09789360963,838.932803216777,767.272038511302,1767.80466375558,547.908745348816,636.364556420464,1020.59849743645
"20","bootstrap_116",138639020.705057,131105687.133172,123231254.50413,127010982.16607,16281487707.6763,22753281288.7862,20348103046.1972,20938330835.7896,28033095875.6541,25918239525.4844,26083228318.7601,37631777270.8614,28372692831.5909,31811356023.6672,4656843128.11329,9801740611.08375,15529868315.9909,6471793581.10986,11751608167.9778,21350289563.1851,4066615338.52091,9636751817.80811,12091205123.9146,7533333.57188472,15407766.200927,11628038.5389867,618.164997431305,636.155850449888,1335.55356425094,859.087616306192,762.706807380736,1836.10412810394,539.816178285001,625.44769255574,1039.83187563191
