"","bootstrap.id","dalys_soc","dalys_cag","dalys_uag","dalys_hom","costf_soc","costf_cag","costp_cag","costpoint_cag","costf_uag","costp_uag","costpoint_uag","costf_hom","costp_hom","costpoint_hom","Diff_cpoint_cag_soc","Diff_cpoint_uag_soc","Diff_cpoint_hom_soc","Diff_cf_cag_soc","Diff_cf_uag_soc","Diff_cf_hom_soc","Diff_cp_cag_soc","Diff_cp_uag_soc","Diff_cp_hom_soc","Diff_dalys_cag_soc","Diff_dalys_uag_soc","Diff_dalys_hom_soc","ICERpoint_cag","ICERpoint_uag","ICERpoint_hom","ICERf_cag","ICERf_uag","ICERf_hom","ICERp_cag","ICERp_uag","ICERp_hom"
"11",11,91622127.7134215,90262412.5581678,90119315.2376167,90188001.9514813,3101485751.90826,3892250952.95538,3485784226.27826,3538320741.97122,4834000399.15801,4444635090.58654,4458641036.93803,5467907577.26605,4064843794.54618,4346013322.4325,436834990.062961,1357155285.02977,1244527570.52425,790765201.047126,1732514647.24975,2366421825.35779,384298474.37,1343149338.67828,963358042.637924,1359715.15525371,1502812.47580478,1434125.76194026,321.269486756182,903.076935332865,867.795282361081,581.566806835787,1152.84819306678,1650.0797127835,282.631603306866,893.757112283091,671.738886647276
"12",12,121901512.284636,117833031.740749,116905745.393526,117350842.840193,1311724023.8905,2159326840.43746,1929270376.26021,1959005565.50761,2769478851.22488,2542615774.14403,2550776316.48507,3097016693.08202,2290666496.11676,2452256515.74671,647281541.617107,1239052292.59457,1140532491.85621,847602816.546963,1457754827.33438,1785292669.19152,617546352.369707,1230891750.25353,978942472.226264,4068480.54388674,4995766.89110927,4550669.44444247,159.096629475028,248.02043802317,250.629606430563,208.333997767438,291.79800801528,392.314293751179,151.787957619123,246.386946605554,215.120540873784
"13",13,66721745.3036685,66667154.1554011,66253479.4131655,66452043.2894386,324948391.41398,377950069.525524,338138877.421743,343284541.707266,462670289.314722,425166355.59706,426515417.961005,527804196.678652,391573896.23362,418874015.96566,18336150.293286,101567026.547025,93925624.5516803,53001678.1115438,137721897.900742,202855805.264672,13190486.007763,100217964.18308,66625504.8196403,54591.148267433,468265.890502952,269702.014229901,335.881381418471,216.900330788421,348.257037752842,970.884104725135,294.110463080747,752.147906065514,241.623164677631,214.019355702886,247.033768026838
"14",14,76416930.4979621,75446203.8727131,75916033.4360425,75690515.2456444,685028836.251693,922164079.078824,824795108.79597,837380213.798516,1183052645.58402,1086812559.47767,1090274433.07861,1320606727.63643,978907655.589362,1047383064.86864,152351377.546823,405245596.826922,362354228.616943,237135242.827131,498023809.332328,635577891.384741,139766272.544277,401783723.225974,293878819.337669,970726.625249043,500897.061919615,726415.252317756,156.945708074853,809.03967628374,498.825193249712,244.286328054815,994.263786303167,874.951192664,143.981084796577,802.128328894956,404.560364612385
"15",15,79516393.8701824,79071229.9562331,78800315.4165369,78930354.3955911,736862940.333945,998893775.778384,893846417.531903,907423967.23723,1213791508.57791,1115559406.05351,1119092934.9213,1389160065.95986,1031068678.68332,1102829055.89548,170561026.903285,382229994.587353,365966115.561535,262030835.444439,476928568.243961,652297125.625911,156983477.197958,378696465.719569,294205738.349371,445163.913949311,716078.453645498,586039.474591315,383.142077690301,533.782286900899,624.473489293102,588.616523562768,666.028374148051,1113.060047842,352.641964631107,528.847731406602,502.023756257274
"16",16,82628201.8621725,81595391.9552853,81287685.1091912,81435384.3953164,924518939.70569,1357222242.84159,1212654898.43554,1231340473.56285,1686739122.18153,1548711117.85467,1553676153.98153,1914401139.8915,1416237262.3289,1516067721.91982,306821533.857162,629157214.275841,591548782.214127,432703303.135901,762220182.475842,989882200.185815,288135958.72985,624192178.148976,491718322.623207,1032809.90688714,1340516.75298123,1192817.46685606,297.074545675024,469.339314765468,495.925653883394,418.957351445296,568.601758076286,829.868967961101,278.982566693499,465.635492253871,412.232664499155
"17",17,91618819.9312483,89087548.4621361,87895111.2897295,88467481.1324847,1352345479.5439,1899599591.25249,1698557852.00966,1724542838.71451,2413313812.77597,2216701229.47358,2223773624.5564,2707436701.39836,2005872778.4405,2146463961.4142,372197359.170619,871428145.012508,794118481.870304,547254111.708599,1060968333.23208,1355091221.85447,346212372.465764,864355749.929688,653527298.896605,2531271.46911213,3723708.64151877,3151338.79876359,147.039684882622,234.021570671835,251.994004002956,216.197321538395,284.9224886723,430.004930725357,136.774098191531,232.122282686743,207.380843707764
"18",18,85624035.8965883,85024275.539171,85014033.1140963,85018949.4781321,1090432253.92157,1393675572.60463,1246651598.59341,1265654697.27514,1829774005.25532,1680908958.07516,1686263815.88739,2020393801.49594,1497754120.03703,1602489453.0278,175222443.353563,595831561.965818,512057199.106228,303243318.683059,739341751.333748,929961547.574369,156219344.671841,590476704.153583,407321866.115453,599760.3574173,610002.782492071,605086.418456182,292.15409319167,976.76859690974,846.254656339323,505.60747293951,1212.0301292943,1536.90699247072,260.469607135349,967.990181522258,673.163127929221
"19",19,108947986.351794,108122296.687789,107947517.510371,108031411.515531,2219269835.97495,2837143204.98025,2540444870.78658,2578793635.07011,3511419289.88071,3228309756.77469,3238493552.92958,3979463755.7042,2957389209.31917,3162209703.73363,359523799.095165,1019223716.95463,942939867.758682,617873369.005302,1292149453.90577,1760193919.72926,321175034.811629,1009039920.79974,738119373.344219,825689.664004907,1000468.84142329,916574.836262494,435.422428992678,1018.74608658942,1028.76473415275,748.311860909561,1291.54392461391,1920.40393221657,388.977903942516,1008.56706278254,805.301808583399
"20",20,91165958.2750887,88846576.6531705,88087477.5301801,88451845.1092155,1670568138.11442,2661639578.05179,2375761974.42411,2412712140.87939,3293506294.78666,3022220225.94744,3031978717.63231,3751699641.33152,2769725684.92186,2966510148.40872,742144002.764972,1361410579.51789,1295942010.2943,991071439.937372,1622938156.67224,2081131503.2171,705193836.309693,1351652087.83303,1099157546.80745,2319381.62191822,3078480.7449086,2714113.16587321,319.974943214041,442.234560592748,477.482673379007,427.29985896746,527.188016152566,766.781403732493,304.043901031893,439.064655534545,404.978525077016
