"","bootstrap.id","dalys_soc","dalys_cag","dalys_uag","dalys_hom","costf_soc","costf_cag","costp_cag","costpoint_cag","costf_uag","costp_uag","costpoint_uag","costf_hom","costp_hom","costpoint_hom","Diff_cpoint_cag_soc","Diff_cpoint_uag_soc","Diff_cpoint_hom_soc","Diff_cf_cag_soc","Diff_cf_uag_soc","Diff_cf_hom_soc","Diff_cp_cag_soc","Diff_cp_uag_soc","Diff_cp_hom_soc","Diff_dalys_cag_soc","Diff_dalys_uag_soc","Diff_dalys_hom_soc","ICERpoint_cag","ICERpoint_uag","ICERpoint_hom","ICERf_cag","ICERf_uag","ICERf_hom","ICERp_cag","ICERp_uag","ICERp_hom"
"24","bootstrap_12",26294424.1674415,24382544.6494654,23345570.7581746,23843318.2259941,5206470950.47684,6517981447.39605,5911707897.43443,5995469374.73176,7843339391.3815,7271535837.08567,7295527594.60857,8918734127.39513,6821636128.12436,7265022562.25589,788998424.254916,2089056644.13173,2058551611.77905,1311510496.91921,2636868440.90466,3712263176.91828,705236946.957588,2065064886.60882,1615165177.64751,1911879.51797609,2948853.4092669,2451105.94144732,412.682084219484,708.430143582852,839.846037239633,685.979678420097,894.201262300184,1514.52579594592,368.871019500303,700.294182179172,658.953638166206
"25","bootstrap_120",33170648.2264666,31291742.2315183,30299799.5496694,30775932.0369569,5256321128.7544,6604463284.25754,5987327126.7011,6072589358.99509,7924868950.42183,7345218936.95047,7369539916.53668,9030882791.03333,6900806139.86195,7351165203.25247,816268230.240693,2113218787.78228,2094844074.49807,1348142155.50314,2668547821.66744,3774561662.27894,731005997.94671,2088897808.19607,1644485011.10755,1878905.9949483,2870848.67679723,2394716.18950973,434.438035982292,736.095498471146,874.777597309746,717.514425483666,929.532734774625,1576.20417768658,389.059378123292,727.623794691432,686.71394894784
"26","bootstrap_121",39419431.2984541,37955809.6305227,37145587.5893533,37534494.1691146,4125523673.46765,5251553302.68997,4767625002.93301,4834483518.03101,6278713548.93604,5824868571.28739,5843911017.90202,7149486300.56084,5480440900.26032,5833324784.89529,708959844.563354,1718387344.43437,1707801111.42763,1126029629.22232,2153189875.46839,3023962627.09318,642101329.465352,1699344897.81974,1354917226.79267,1463621.66793142,2273843.70910081,1884937.12933949,484.387366009241,755.71919809471,906.025503368416,769.344738393884,946.938378768285,1604.27771304649,438.707176543001,747.344635437473,718.812954396758
"27","bootstrap_122",40073199.2252796,38331965.5240826,37433013.8582538,37864510.6578516,5352091273.26404,6796090006.12395,6183262594.23925,6267929539.30227,8232531171.72469,7646459816.11347,7671050222.64261,9280056190.45959,7145120836.10538,7596507168.16885,915838266.038232,2318958949.37857,2244415894.90481,1443998732.85991,2880439898.46065,3927964917.19555,831171320.975215,2294368542.84943,1793029562.84134,1741233.70119704,2640185.36702579,2208688.56742799,525.970905231516,878.331869550098,1016.17581038979,829.296338491043,1090.99911484833,1778.4150174552,477.346217457089,869.017975595431,811.807327336023
"28","bootstrap_123",46012501.8503953,43999462.9679925,42956938.3927685,43457350.188876,5688898763.65367,7188495172.91595,6522360849.78721,6614392565.48262,8652145044.98503,8023262994.74455,8049649654.1952,9830637620.01755,7525329166.48706,8012737239.51922,925493801.82895,2360750890.54153,2323838475.86555,1499596409.26227,2963246281.33135,4141738856.36387,833462086.133533,2334364231.09088,1836430402.83339,2013038.88240278,3055563.45762683,2555151.66151927,459.7495904919,772.607384294044,909.471837176119,744.941601660641,969.787184074005,1620.93660377922,414.031787174775,763.971772624849,718.716791057898
"29","bootstrap_124",42514797.6880941,40678041.2185399,39843030.5421534,40243835.6668189,5044955255.309,6412627886.54272,5818151528.55891,5900283130.64878,7689379071.01328,7130608966.62776,7154053866.11246,8752817514.52319,6700194054.91323,7134177300.65934,855327875.339782,2109098610.80346,2089222045.35034,1367672631.23372,2644423815.70428,3707862259.21419,773196273.249914,2085653711.31876,1655238799.60423,1836756.46955419,2671767.14594067,2270962.02127518,465.672989053024,789.402105646784,919.972252189939,744.612938026388,989.765825858764,1632.7275509135,420.957424713784,780.627052206845,728.871193836519
"30","bootstrap_125",35061251.9771518,33342285.9742742,32492485.3544248,32900389.6519525,4415010999.81582,5542819183.41195,5029618203.05563,5100520970.07854,6700016546.62595,6213043375.46216,6233475816.21029,7595745863.94421,5815095169.14267,6191575601.75785,685509970.262721,1818464816.39447,1776564601.94203,1127808183.59613,2285005546.81013,3180734864.12839,614607203.23981,1798032375.64634,1400084169.32685,1718966.00287753,2568766.62272696,2160862.32519924,398.792046564728,707.913595694427,822.155387330486,656.096852240353,889.53411594254,1471.97478850723,357.544711303751,699.959412325896,647.928446435272
"31","bootstrap_126",33135568.9530107,31142439.7958913,30067478.7135135,30583460.0330549,5410655646.3685,6671983419.61296,6049782043.04904,6135744075.33747,8020761630.29415,7434888536.57765,7459470624.4259,9128892220.88262,6978531783.42586,7433179418.77386,725088428.968969,2048814978.0574,2022523772.40536,1261327773.24446,2610105983.92565,3718236574.51411,639126396.680532,2024232890.20915,1567876137.05736,1993129.15711932,3068090.23949714,2552108.91995579,363.794000192614,667.781850638526,792.491165479095,632.837951689727,850.726601950746,1456.92707134871,320.664817128192,659.76967174894,614.34530665898
"32","bootstrap_127",27147795.2583829,26246254.163003,25622938.9766965,25922130.2661236,3341861466.41403,4221989213.24347,3843078478.72051,3895427988.09539,5095476977.50129,4734334958.75349,4749487770.72892,5749221774.24236,4431471329.66065,4710081423.65792,553566521.681366,1407626304.3149,1368219957.2439,880127746.82944,1753615511.08727,2407360307.82834,501217012.306485,1392473492.33946,1089609863.24662,901541.095379848,1524856.28168636,1225664.99225925,614.022504928776,923.120638463177,1116.30826195164,976.248061613447,1150.02019019649,1964.12586068146,555.955812635813,913.183431817921,888.994847799447
"33","bootstrap_128",28510088.3539849,26396572.8345891,25413098.0788653,25885165.9616127,5552022273.94375,6959595762.70247,6317132344.53524,6405893737.83466,8434041140.95058,7822257125.41213,7847926384.80535,9545040461.64831,7311799472.60995,7783970424.57806,853871463.890907,2295904110.8616,2231948150.63431,1407573488.75872,2882018867.00683,3993018187.70456,765110070.591488,2270234851.46838,1759777198.6662,2113515.51939583,3096990.27511964,2624922.39237221,404.005296414854,741.33397489371,850.291100841746,665.986824246783,930.586992849211,1521.19475962715,362.008257602103,733.045521552593,670.411134355804
